Ano;Período;Tipo Avaliacao;Professor;Departamento;Disciplina;Turma;Cursos;Aluno;Ano Ingresso;Tipo Ingresso;Curso Aluno;IRA;Escola 2G;Bolsa Apoio;Tipos Bolsa;Outras Bolsas;Nota Final;Cidade;Estado;O plano de ensino apresentado pelo(a) docente contém: ementa, objetivos, metodologias de ensino, critérios de avaliação, cronograma, conteúdos e bibliografia da disciplina.;O(A) docente cumpriu o plano de ensino apresentado.;Os conteúdos foram ministrados de forma clara.;As atividades pedagógicas (aulas, atividades online e presenciais e etc) estimularam a sua participação.;Os recursos didáticos, audiovisuais e tecnológicos disponíveis contribuíram para o processo de ensino e aprendizagem.;Os critérios de avaliação foram compatíveis com os conteúdos ministrados.;O(A) docente deu retorno sobre todas as atividades realizadas.;A atuação e disponibilidade do(a) docente foram satisfatórias.;O(A) docente manteve um comportamento respeitoso e cortês em relação aos discentes.;A atuação e disponibilidade do(a) tutor(a) à distância foram satisfatórias.;O(A) tutor(a) à distância manteve um comportamento respeitoso e cortês em relação aos discentes.;As atividades propostas contribuíram para a aprendizagem dos conteúdos.;A disciplina contribuiu na preparação para o exercício profissional.;A disciplina contribuiu para a aquisição de cultura geral.;Sua motivação para estudar esta disciplina foi alta.;Você teve facilidade para acompanhar as atividades da disciplina.;Seu empenho durante a disciplina foi elevado.;A atuação do(a) tutor(a) presencial foi satisfatória.;A atuação do(a) assistente à docência foi satisfatória.;As estruturas física e tecnológica do polo foram compatíveis e atenderam ao desenvolvimento das atividades.;A atuação do(a) coordenador(a) de curso foi satisfatória.;O trabalho da secretaria do curso na UFJF foi satisfatório.;A atuação da UFJF em relação aos alunos e polo-UAB é satisfatória.
2019;3;ALUNO_TURMA;58AD0E74C95A031D1A6E73249AFF0B15;DEPARTAMENTO DE EDUCAÇÃO;C42E47B8DC4F811242AC6C7A1FF27506;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;1199372E49B207E6393D4B05C0DB0076;2016;Vestibular;37F;84,03;ESCOLA ESTADUAL PADRE JOÃO VIEIRA DA FONSÊCA;N;;;70;BOA ESPERANCA;MG;4;5;3;2;4;5;4;4;5;5;5;4;5;4;4;4;4;0;0;4;3;3;3
2019;3;ALUNO_TURMA;58AD0E74C95A031D1A6E73249AFF0B15;DEPARTAMENTO DE EDUCAÇÃO;C42E47B8DC4F811242AC6C7A1FF27506;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;8585BB665038486DA00DABCE337FC9F4;2016;Vestibular;37F;83,82;ESCOLA COMENDADOR GERALDO FREIRE DA SILVA;N;;;87;VARGINHA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;5;5;5
2019;3;ALUNO_TURMA;58AD0E74C95A031D1A6E73249AFF0B15;DEPARTAMENTO DE EDUCAÇÃO;C42E47B8DC4F811242AC6C7A1FF27506;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;B891C07E9C31D31567A1918A1F989BA0;2016;Vestibular;37F;79,36;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS;N;;;70;BOA ESPERANCA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;58AD0E74C95A031D1A6E73249AFF0B15;DEPARTAMENTO DE EDUCAÇÃO;C42E47B8DC4F811242AC6C7A1FF27506;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;79DD9F28B8F398D590FDAF7C144F6ED0;2017;Vestibular;37Q;85,58;ESCOLA ESTADUAL CÔNEGO LUÍS VIEIRA DA SILVA;N;;;89;OURO BRANCO;MG;4;5;2;4;2;4;4;4;5;4;5;3;4;2;3;2;4;4;4;5;3;4;5
2019;3;ALUNO_TURMA;58AD0E74C95A031D1A6E73249AFF0B15;DEPARTAMENTO DE EDUCAÇÃO;C42E47B8DC4F811242AC6C7A1FF27506;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;ACDD7B70215FDE8F386CE5D96FD814E4;2016;Vestibular;37G;89,24;ESCOLA ESTADUAL LOREN RIOS FERES;N;;;80;ARAXA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;58AD0E74C95A031D1A6E73249AFF0B15;DEPARTAMENTO DE EDUCAÇÃO;C42E47B8DC4F811242AC6C7A1FF27506;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;BF220376CC4951659DE8BA0A516F4349;2016;Vestibular;37G;85,18;ESCOLA ESTADUAL SÃO GERALDO;N;;;100;COROMANDEL;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;58AD0E74C95A031D1A6E73249AFF0B15;DEPARTAMENTO DE EDUCAÇÃO;C42E47B8DC4F811242AC6C7A1FF27506;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;E25B0A54014BA202D5E84C547F0CF86A;2016;Vestibular;37G;83,76;RED/DIRETORIA DE ENSINO SUPLETIVO;N;;;96;COROMANDEL;MG;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;2;5;3;5;5;5
2019;3;ALUNO_TURMA;58AD0E74C95A031D1A6E73249AFF0B15;DEPARTAMENTO DE EDUCAÇÃO;C42E47B8DC4F811242AC6C7A1FF27506;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;25E25359554DB14E345953F4B2E935A7;2016;Vestibular;37L;84,27;ESCOLA ESTADUAL EMÍLIA MARIA DINIZ;N;;;81;DURANDE;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5
2019;3;ALUNO_TURMA;58AD0E74C95A031D1A6E73249AFF0B15;DEPARTAMENTO DE EDUCAÇÃO;C42E47B8DC4F811242AC6C7A1FF27506;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;80AD60A7B2569DC727E0C62D847370B4;2014;Vestibular;37F;62,87;ESCOLA COMENDADOR GERALDO FREIRE DA SILVA;N;;;74;BOA ESPERANCA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;4;3;4;5;5;5;5
2019;3;ALUNO_TURMA;58AD0E74C95A031D1A6E73249AFF0B15;DEPARTAMENTO DE EDUCAÇÃO;C42E47B8DC4F811242AC6C7A1FF27506;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;C32FD9A48DA2C0867DF4430F3CD230DE;2016;Vestibular;37L;71,06;ESCOLA MUNICIPAL DRA MARIA DA CONCEIÇÃO OLIVEIRA RIBEIRO;N;;;77;MANHUMIRIM;MG;5;3;5;4;4;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;58AD0E74C95A031D1A6E73249AFF0B15;DEPARTAMENTO DE EDUCAÇÃO;C42E47B8DC4F811242AC6C7A1FF27506;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;D1070EC230DF515515400167D0D4E2DB;2016;Vestibular;37M;79,88;CESEC - VALDIR PINHEIRO DE LACERDA;N;;;83;IPANEMA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;58AD0E74C95A031D1A6E73249AFF0B15;DEPARTAMENTO DE EDUCAÇÃO;C42E47B8DC4F811242AC6C7A1FF27506;A;37A|37D|37F|37G|37H|37J|37L|37M|37N|37O|37P|37Q|37R|37S|37T;4CBDB654DC325F29A93CAFAFFAA7C8B0;2016;Vestibular/ENEM;37M;76,35;ESCOLA ESTADUAL EUCLIDES PINTO DE OLIEIRA;N;;;79;IPANEMA;MG;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5
2019;3;ALUNO_TURMA;18CECF77B97E70E078B78002ED427C9A;DEPTO DE QUIMICA /ICE;1D71C3FBE5AE321659123BEAD2BEBAE6;A;59C|59E|59H|65GL;44EE26DFF005D8803717E45566A71E6A;2018;Vestibular;59C;59,13;INSTITUTO ESTADUAL DE EDUCAÇÃO DE JUIZ DE FORA;N;;;98;JUIZ DE FORA;MG;5;5;4;5;4;5;5;2;5;3;5;5;5;5;3;3;5;3;3;1;5;5;5
2019;3;ALUNO_TURMA;2B9534A2497E2B3B1D436F31E883FBAF;DEPTO GINASTICA ARTE CORPORAL /EFID;47E3936520F9E1A5E29D418BF946BDF4;A;86B|86C|86D|86E|86F|86G|86H|86I|86J|86K|86L;B618C5250803D7C95FAD3FBE224B98F7;2016;Vestibular;86B;76,67;ESCOLA ESTADUAL CORONEL CALHÁU DE ENSINO FUNDAMENTAL E MÉDIO;N;;;62;IPANEMA;MG;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;4;5;1;1;1;1;1
2019;3;ALUNO_TURMA;2B9534A2497E2B3B1D436F31E883FBAF;DEPTO GINASTICA ARTE CORPORAL /EFID;47E3936520F9E1A5E29D418BF946BDF4;A;86B|86C|86D|86E|86F|86G|86H|86I|86J|86K|86L;EF847B739374B9EAD23CA71CC1466AEB;2016;Vestibular/ENEM;86C;86,42;ESCOLA ESTADUAL CORONEL IDALINO RIBEIRO;N;;;83;JUIZ DE FORA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5
2019;3;ALUNO_TURMA;2B9534A2497E2B3B1D436F31E883FBAF;DEPTO GINASTICA ARTE CORPORAL /EFID;47E3936520F9E1A5E29D418BF946BDF4;A;86B|86C|86D|86E|86F|86G|86H|86I|86J|86K|86L;0D289D9698E1F71011003C6B2515403A;2016;Vestibular;86C;74,28;ESCOLA ESTADUAL CORONEL IDALINO RIBEIRO;N;;;93;SALINAS;MG;5;5;4;5;5;4;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5
2019;3;ALUNO_TURMA;2B9534A2497E2B3B1D436F31E883FBAF;DEPTO GINASTICA ARTE CORPORAL /EFID;47E3936520F9E1A5E29D418BF946BDF4;A;86B|86C|86D|86E|86F|86G|86H|86I|86J|86K|86L;B4C9711F58EF32858A2139064D10995E;2016;Vestibular;86E;85,23;ESCOLA ESTADUAL PASCHOAL COMANDUCCI;N;;;99;SANTA LUZIA;MG;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;2B9534A2497E2B3B1D436F31E883FBAF;DEPTO GINASTICA ARTE CORPORAL /EFID;47E3936520F9E1A5E29D418BF946BDF4;A;86B|86C|86D|86E|86F|86G|86H|86I|86J|86K|86L;CF134C21A44E49BE47C2B1ABE07699E0;2016;Vestibular;86E;77,93;CENTRO DE EXAMES SUPLETIVOS ;N;;;73;BELO HORIZONTE;MG;4;5;4;2;4;5;4;3;5;3;5;5;3;4;3;3;3;4;3;0;0;3;2
2019;3;ALUNO_TURMA;2B9534A2497E2B3B1D436F31E883FBAF;DEPTO GINASTICA ARTE CORPORAL /EFID;47E3936520F9E1A5E29D418BF946BDF4;A;86B|86C|86D|86E|86F|86G|86H|86I|86J|86K|86L;38D40886E705FE8544B2A4667ACE47FE;2016;Vestibular;86E;75,88;ESCOLA ESTADUAL PADRE MENEZES;N;;;91;LAGOA SANTA;MG;5;5;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;2B9534A2497E2B3B1D436F31E883FBAF;DEPTO GINASTICA ARTE CORPORAL /EFID;47E3936520F9E1A5E29D418BF946BDF4;A;86B|86C|86D|86E|86F|86G|86H|86I|86J|86K|86L;C41E0555D31286A220E5322E14B09144;2016;Vestibular/ENEM;86E;71,87;ESCOLA ESTADUAL DEPUTADO RENATO AZEREDO;N;;;60;CONTAGEM;MG;0;0;1;1;1;1;1;1;0;1;3;1;1;1;1;1;1;1;1;1;1;0;3
2019;3;ALUNO_TURMA;2B9534A2497E2B3B1D436F31E883FBAF;DEPTO GINASTICA ARTE CORPORAL /EFID;47E3936520F9E1A5E29D418BF946BDF4;A;86B|86C|86D|86E|86F|86G|86H|86I|86J|86K|86L;4B353C4A7CFA38614974ABC5731F626B;2016;Vestibular;86E;71,03;ESCOLA ESTADUAL SAGRADA FAMÍLIA;N;;;94;LAGOA SANTA;MG;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;2B9534A2497E2B3B1D436F31E883FBAF;DEPTO GINASTICA ARTE CORPORAL /EFID;47E3936520F9E1A5E29D418BF946BDF4;A;86B|86C|86D|86E|86F|86G|86H|86I|86J|86K|86L;808F972FC117E3A80DB38FE417EC996B;2016;Vestibular;86E;69,87;ESCOLA ESTADUAL BENTO GONÇALVES;N;;;83;MATOZINHOS;MG;5;4;5;4;5;4;5;5;5;4;5;5;5;4;4;3;4;5;5;5;5;4;4
2019;3;ALUNO_TURMA;2B9534A2497E2B3B1D436F31E883FBAF;DEPTO GINASTICA ARTE CORPORAL /EFID;47E3936520F9E1A5E29D418BF946BDF4;A;86B|86C|86D|86E|86F|86G|86H|86I|86J|86K|86L;E226A9F0E5CEBB6ACFD459CD1746FFC1;2016;Vestibular/ENEM;86I;91,39;ESCOLA ESTADUAL DR. ERNANE VILELA LIMA, 1º E 2º GRAUS;N;;;84;NEPOMUCENO;MG;4;4;4;5;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;0;5;5;4
2019;3;ALUNO_TURMA;2B9534A2497E2B3B1D436F31E883FBAF;DEPTO GINASTICA ARTE CORPORAL /EFID;47E3936520F9E1A5E29D418BF946BDF4;A;86B|86C|86D|86E|86F|86G|86H|86I|86J|86K|86L;7B85CDEDD47D5E8EA6AD599A5EFDDBF7;2016;Vestibular/ENEM;86J;86,1;ESCOLA ESTADUAL PROF. BOTELHO REIS;N;;;93;LEOPOLDINA;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;3
2019;3;ALUNO_TURMA;2B9534A2497E2B3B1D436F31E883FBAF;DEPTO GINASTICA ARTE CORPORAL /EFID;47E3936520F9E1A5E29D418BF946BDF4;A;86B|86C|86D|86E|86F|86G|86H|86I|86J|86K|86L;F38A24DFB8E235C9EB64E78AAEF7E1F9;2016;Vestibular;86J;85,03;COLÉGIO LEOPOLDO;N;;;89;CATAGUASES;MG;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;2B9534A2497E2B3B1D436F31E883FBAF;DEPTO GINASTICA ARTE CORPORAL /EFID;47E3936520F9E1A5E29D418BF946BDF4;A;86B|86C|86D|86E|86F|86G|86H|86I|86J|86K|86L;70C5AEC0D6D5AC22FD66D9A9415F2239;2016;Vestibular;86K;83,58;ESCOLA DA COMUNIDADE LUZIA DE OLIVEIRA DE 2º GRAU;N;;;72;MARILAC;MG;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;2B9534A2497E2B3B1D436F31E883FBAF;DEPTO GINASTICA ARTE CORPORAL /EFID;47E3936520F9E1A5E29D418BF946BDF4;A;86B|86C|86D|86E|86F|86G|86H|86I|86J|86K|86L;EFCBEB2745BA309914C67AFBC08D1D96;2016;Vestibular;86K;80,1;ESCOLA ESTADUAL PROFESSORA ELGE RENAN BRAGA;N;;;69;MARILAC;MG;3;4;3;3;3;3;4;2;5;3;3;3;5;5;3;4;4;5;3;4;1;3;2
2019;3;ALUNO_TURMA;2B9534A2497E2B3B1D436F31E883FBAF;DEPTO GINASTICA ARTE CORPORAL /EFID;47E3936520F9E1A5E29D418BF946BDF4;A;86B|86C|86D|86E|86F|86G|86H|86I|86J|86K|86L;AB1493A64DA1338A1ECB07B1B2B4CD5E;2016;Vestibular;86K;67,48;ESCOLA ESTADUAL ALMIRANTE TAMANDARE;N;;;8;GOVERNADOR VALADARES;MG;1;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0
2019;3;ALUNO_TURMA;2B9534A2497E2B3B1D436F31E883FBAF;DEPTO GINASTICA ARTE CORPORAL /EFID;47E3936520F9E1A5E29D418BF946BDF4;A;86B|86C|86D|86E|86F|86G|86H|86I|86J|86K|86L;EAE72F0E6B6080EB07CF5C10B06F4605;2016;Vestibular;86K;57,75;ESCOLA ESTADUAL JOÃO WESLEY ;N;;;17;GOVERNADOR VALADARES;MG;2;3;3;1;2;3;3;1;3;2;3;3;3;3;2;1;0;5;0;3;3;3;0
2019;3;ALUNO_TURMA;2B9534A2497E2B3B1D436F31E883FBAF;DEPTO GINASTICA ARTE CORPORAL /EFID;47E3936520F9E1A5E29D418BF946BDF4;A;86B|86C|86D|86E|86F|86G|86H|86I|86J|86K|86L;E5746EA9C4EFA908605B0E19963391CF;2017;Vestibular;86L;86,76;ESCOLA ESTADUAL SANTA QUITÉRIA;N;;;69;ESMERALDAS;MG;3;3;2;2;2;2;3;2;3;2;2;2;2;2;2;2;3;2;2;2;2;2;2
2019;3;ALUNO_TURMA;05E633C7C8F52AB449A2AB0987A0A753;DEPTO DE MATEMATICA /ICE;989D03065A12506B428527CE9F5427B2;A;61A|61B|61D|61E|61F|61G|61H|61I|62D|62G|62J|62K|62L|62M|62N|62O|62P|62Q;051926A8CBB0709CC5DD5603CA86E7E2;2016;Vestibular/ENEM;61B;57,63;ESCOLA ESTADUAL DOUTOR JOSÉ MARQUES DE OLIVEIRA - 1º E 2º GRAUS;N;;;89;LAVRAS;MG;3;4;3;5;4;5;5;4;4;4;5;4;4;4;3;4;3;0;3;4;4;4;3
2019;3;ALUNO_TURMA;05E633C7C8F52AB449A2AB0987A0A753;DEPTO DE MATEMATICA /ICE;989D03065A12506B428527CE9F5427B2;A;61A|61B|61D|61E|61F|61G|61H|61I|62D|62G|62J|62K|62L|62M|62N|62O|62P|62Q;1CF831413486FA59C9DE15BC57297718;2018;Vestibular;61G;59,17;ESCOLA ESTADUAL PROFESSORA ANA LETRO STAACKS;N;;;5;TIMOTEO;MG;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;ALUNO_TURMA;05E633C7C8F52AB449A2AB0987A0A753;DEPTO DE MATEMATICA /ICE;989D03065A12506B428527CE9F5427B2;A;61A|61B|61D|61E|61F|61G|61H|61I|62D|62G|62J|62K|62L|62M|62N|62O|62P|62Q;BCF2D71A223EBCA11D7EE18C0CDE895D;2018;Vestibular;61G;63,76;ESCOLA ESTADUAL PREFEITO JOAQUIM PEDRO NASCIMENTO;N;;;71;GOVERNADOR VALADARES;MG;4;4;3;4;2;5;4;4;5;4;5;5;4;3;4;4;3;5;4;4;4;4;4
2019;3;ALUNO_TURMA;05E633C7C8F52AB449A2AB0987A0A753;DEPTO DE MATEMATICA /ICE;989D03065A12506B428527CE9F5427B2;A;61A|61B|61D|61E|61F|61G|61H|61I|62D|62G|62J|62K|62L|62M|62N|62O|62P|62Q;E64C51E88D4666B08DED4A65DADC3A9E;2016;Vestibular;61G;46,41;INSTITUTO IMACULADA CONCEIÇÃO;N;;;42;GOVERNADOR VALADARES;MG;4;5;;4;3;4;5;3;5;3;5;4;4;3;2;3;3;4;4;3;4;4;5
2019;3;ALUNO_TURMA;05E633C7C8F52AB449A2AB0987A0A753;DEPTO DE MATEMATICA /ICE;989D03065A12506B428527CE9F5427B2;A;61A|61B|61D|61E|61F|61G|61H|61I|62D|62G|62J|62K|62L|62M|62N|62O|62P|62Q;72CE3925708D24EFD6E605F837B87C5C;2018;Vestibular/ENEM;61H;49,41;COLÉGIO META DE ENSINO FUNDAMENTAL (1ª A 8ª SÉRIE) E ENSINO MÉDIO;N;;APOIO CONSOLIDACAO GRUPOS|EXTENSAO|PIBIC|TREINAMENTO PROFISSIONAL|VESTIBULAR;5;JUIZ DE FORA;MG;4;4;3;2;2;4;2;2;4;2;2;3;4;1;1;3;1;2;2;4;3;5;5
